,Type,Date,Open,High,Low,Close,Volume
16861,Polkadot USD,2022-03-04,18.023418,18.029242,16.548868,16.75708,1047537594.0
16862,Polkadot USD,2022-03-05,16.76602,17.73682,16.270109,17.312721,757666761.0
16863,Polkadot USD,2022-03-06,17.314793,17.547518,16.589474,16.978825,737656667.0
16864,Polkadot USD,2022-03-07,16.980211,17.116169,16.062243,16.431496,944798572.0
16865,Polkadot USD,2022-03-08,16.430084,17.232317,16.358534,16.953651,874178607.0
16866,Polkadot USD,2022-03-09,16.961296,18.049906,16.930101,17.866676,857533887.0
16867,Polkadot USD,2022-03-10,17.864969,17.892672,16.745113,16.979118,750062051.0
16868,Polkadot USD,2022-03-11,16.981028,18.414682,16.749559,17.734423,1236681337.0
16869,Polkadot USD,2022-03-12,17.73506,18.669994,17.731771,18.153923,994605789.0
16870,Polkadot USD,2022-03-13,18.147038,18.362165,17.197531,17.247932,707977397.0
16871,Polkadot USD,2022-03-14,17.246563,17.831064,17.084517,17.695951,728004973.0
16872,Polkadot USD,2022-03-15,17.693548,18.002615,17.083492,17.828997,673341299.0
16873,Polkadot USD,2022-03-16,17.82737,19.150919,17.762905,19.053368,1201525130.0
16874,Polkadot USD,2022-03-17,19.051691,19.267126,18.664957,18.751732,804681001.0
16875,Polkadot USD,2022-03-18,18.748987,19.180634,18.184626,18.991892,751608989.0
16876,Polkadot USD,2022-03-19,18.991165,19.767376,18.914698,19.359505,833974878.0
16877,Polkadot USD,2022-03-20,19.362869,19.442106,18.390905,18.638643,688372541.0
16878,Polkadot USD,2022-03-21,18.636242,19.048409,18.474392,18.795271,726848268.0
16879,Polkadot USD,2022-03-22,18.79034,20.431427,18.711327,20.252199,1206899926.0
16880,Polkadot USD,2022-03-23,20.247601,21.069103,19.883589,21.003956,1321882560.0
16881,Polkadot USD,2022-03-24,21.004986,21.430698,20.375206,21.245491,1230204385.0
16882,Polkadot USD,2022-03-25,21.246754,21.320301,20.26969,20.547285,887840773.0
16883,Polkadot USD,2022-03-26,20.549461,21.024237,20.298012,20.887957,559036946.0
16884,Polkadot USD,2022-03-27,20.89197,22.448711,20.770622,22.447863,766114013.0
16885,Polkadot USD,2022-03-28,22.45068,23.266171,21.900141,21.970449,1265796274.0
16886,Polkadot USD,2022-03-29,21.95549,22.910557,21.892668,22.486179,1167942746.0
16887,Polkadot USD,2022-03-30,22.482256,22.968292,21.772602,22.468348,1114497681.0
